Step,Loss,Reward_Mean,Reward_Std,Format_Reward,Accuracy_Reward
20,0.0416,-2.0938,0.1400,,
40,0.0468,-2.1406,0.2812,,
60,0.0370,-2.0344,0.0688,,
80,0.0041,-2.0250,0.0625,,
100,0.0000,-2.0000,0.0000,,
120,0.0075,-2.0187,0.0375,,
140,0.0239,-2.0094,0.0187,,
160,0.0000,-2.0000,0.0000,,
180,0.0000,-2.0000,0.0000,,
200,0.0000,-2.0000,0.0000,,
220,0.0000,-2.0000,0.0000,,
240,0.0000,-2.0000,0.0000,,
260,0.0000,-2.0000,0.0000,,
280,0.0000,-2.0000,0.0000,,
300,0.0000,-2.0000,0.0000,,
320,0.0000,-2.0000,0.0000,,
340,0.0000,-2.0000,0.0000,,
360,0.0000,-2.0000,0.0000,,
380,0.0000,-2.0000,0.0000,,
400,0.0000,-2.0000,0.0000,,
420,0.0000,-2.0000,0.0000,,
440,0.0000,-2.0000,0.0000,,
460,0.0000,-2.0000,0.0000,,
480,0.0000,-2.0000,0.0000,,
500,0.0000,-2.0000,0.0000,,
