Step,Loss,Reward_Mean,Reward_Std,Format_Reward,Accuracy_Reward
20,0.0311,-2.1469,0.3029,,
40,0.0233,-2.1469,0.2779,,
60,0.0000,-2.0187,0.0375,,
80,0.0184,-2.0191,0.0381,,
100,0.0092,-2.0187,0.0375,,
120,0.0229,-2.0378,0.0756,,
140,0.0001,-2.0094,0.0187,,
160,-0.0031,-1.9969,0.0063,,
180,0.0128,-2.0094,0.0187,,
200,-0.0046,-2.0094,0.0187,,
220,0.0018,-2.0122,0.0244,,
240,0.0000,-2.0000,0.0000,,
260,-0.0002,-2.0094,0.0187,,
280,0.0000,-2.0000,0.0000,,
300,0.0000,-2.0000,0.0000,,
320,0.0029,-2.0094,0.0187,,
340,0.0000,-2.0000,0.0000,,
360,0.0000,-2.0000,0.0000,,
380,0.0000,-2.0000,0.0000,,
400,0.0000,-2.0000,0.0000,,
420,0.0000,-2.0000,0.0000,,
440,0.0000,-2.0000,0.0000,,
460,0.0000,-2.0000,0.0000,,
480,0.0000,-2.0000,0.0000,,
500,-0.0117,-2.0312,0.0625,,
