Step,Loss,Reward_Mean,Reward_Std,Format_Reward,Accuracy_Reward
20,0.0930,-2.2000,0.3419,,
40,0.0320,-2.1094,0.2029,,
60,0.0486,-2.0344,0.0688,,
80,0.0104,-2.0094,0.0187,,
100,0.0210,-2.0281,0.0563,,
120,0.0030,-2.0562,0.1052,,
140,0.0278,-2.0281,0.0563,,
160,0.0076,-2.0094,0.0187,,
180,-0.0008,-2.0094,0.0187,,
200,0.0094,-2.0344,0.0688,,
220,0.0190,-2.0187,0.0375,,
240,0.0040,-2.0250,0.0500,,
260,0.0000,-2.0000,0.0000,,
280,0.0067,-2.0344,0.0688,,
300,0.0000,-2.0000,0.0000,,
320,0.0000,-2.0000,0.0000,,
340,0.0000,-2.0000,0.0000,,
360,0.0000,-2.0000,0.0000,,
380,0.0060,-2.0094,0.0187,,
400,0.0115,-2.0094,0.0187,,
420,0.0000,-2.0000,0.0000,,
440,0.0009,-2.0094,0.0187,,
460,0.0000,-2.0000,0.0000,,
480,0.0000,-2.0000,0.0000,,
500,0.0000,-2.0000,0.0000,,
