Step,Loss,Reward_Mean,Reward_Std,Format_Reward,Accuracy_Reward
20,0.1324,-0.2122,0.6577,,
40,0.0341,-0.1700,0.5999,,
60,0.0346,-0.0784,0.6466,,
80,0.0226,-0.1413,0.6877,,
100,-0.0410,-0.1028,0.5103,,
120,0.0395,-0.1013,0.6382,,
140,0.0165,-0.1753,0.6175,,
160,0.1077,-0.1006,0.6517,,
180,0.0439,-0.0416,0.6950,,
200,0.0257,-0.1297,0.6057,,
220,0.0196,-0.1100,0.6622,,
240,0.0478,-0.1522,0.7358,,
260,0.1299,-0.1053,0.7771,,
280,0.0203,-0.1053,0.7218,,
300,0.0339,-0.1019,0.6867,,
320,0.0681,0.0619,0.7144,,
340,0.0987,-0.1488,0.8004,,
360,0.0294,-0.1138,0.7389,,
380,0.0339,-0.1597,0.7931,,
400,0.0732,-0.1222,0.7842,,
420,0.0936,0.0025,0.7131,,
440,0.1081,-0.0606,0.6847,,
460,0.0607,0.0159,0.7667,,
480,0.0404,-0.0847,0.7381,,
500,-0.0119,-0.1284,0.8077,,
