Step,Loss,Reward_Mean,Reward_Std,Format_Reward,Accuracy_Reward
20,0.0428,-2.0969,0.1621,,
40,-0.0131,-2.1219,0.2244,,
60,-0.0093,-2.0531,0.1062,,
80,0.0160,-2.0688,0.1375,,
100,0.0090,-2.0281,0.0404,,
120,0.0055,-2.0094,0.0187,,
140,0.0000,-2.0000,0.0000,,
160,0.0035,-2.0156,0.0312,,
180,0.0000,-2.0000,0.0000,,
200,-0.0012,-2.0187,0.0375,,
220,-0.0105,-2.0406,0.0813,,
240,0.0068,-2.0094,0.0187,,
260,0.0070,-2.0094,0.0187,,
280,0.0057,-2.0094,0.0187,,
300,-0.0045,-2.0094,0.0187,,
320,0.0000,-2.0000,0.0000,,
340,0.0000,-2.0000,0.0000,,
360,0.0000,-2.0000,0.0000,,
380,-0.0040,-2.0156,0.0312,,
400,-0.0030,-2.0156,0.0312,,
420,0.0089,-2.0094,0.0187,,
440,0.0005,-2.0187,0.0375,,
460,-0.0012,-2.0344,0.0688,,
480,0.0000,-2.0000,0.0000,,
500,0.0066,-2.0187,0.0375,,
