profile_id,algorithm_id,parameter_set_id,mean_bpb,mean_ms_per_kb,n_samples,valid_rate
profile_3,lzw,lzw:f6cdb2b9,3.383861296458318,0.3165778982439889,300,1.0
profile_4,bwt_mtf,bwt_mtf:f71fe5f5,4.045477202916038,0.6445483804226952,300,1.0
profile_9,lzw,lzw:f6cdb2b9,4.801036696566137,0.3862886692448538,300,1.0
profile_6,huffman,huffman:698b2692,5.447290090973052,0.2219132889382295,300,1.0
profile_0,huffman,huffman:698b2692,5.510523361492886,0.22572270762863572,300,1.0
profile_2,lzw,lzw:f6cdb2b9,5.607485676065628,0.4202616728850478,300,1.0
profile_1,huffman,huffman:698b2692,5.798913572123405,0.23820619754623645,300,1.0
profile_11,huffman,huffman:698b2692,5.824420312266821,0.23761754535327873,300,1.0
profile_10,lzw,lzw:f6cdb2b9,5.997098761788546,0.43588336902019004,300,1.0
profile_5,lzw,lzw:9401c600,6.30287586765559,0.4519408549209492,300,1.0
profile_7,lzw,lzw:513772ed,8.169379188205113,0.8312094680744649,33,1.0
