,profile_0,profile_1,profile_10,profile_11,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_9
profile_0,14555,210,0,0,1,0,0,0,756,0,0
profile_1,205,12496,0,256,30,0,0,140,958,0,0
profile_10,0,0,920,3,7,0,0,3,0,0,2
profile_11,0,280,15,8333,33,0,0,293,55,0,0
profile_2,1,38,20,45,1488,0,2,68,16,0,29
profile_3,0,0,0,0,0,351,1,0,0,0,14
profile_4,0,0,0,0,4,20,473,0,1,0,11
profile_5,0,87,0,280,49,0,0,3781,0,0,0
profile_6,1314,1235,0,57,12,0,0,2,11155,0,0
profile_7,0,0,0,0,0,0,0,0,0,5,0
profile_9,0,0,3,0,41,10,9,0,0,0,565
