book_id,source,domain,path,n_chars,n_lines
diverse_0001,gutenberg_55465,Gutenberg English prose,data/diverse/books/book_0001/full.txt,50000,891
diverse_0002,gutenberg_18056,Gutenberg English prose,data/diverse/books/book_0002/full.txt,50000,1425
diverse_0003,gutenberg_11960,Gutenberg English prose,data/diverse/books/book_0003/full.txt,50000,1160
diverse_0004,gutenberg_62947,Gutenberg English prose,data/diverse/books/book_0004/full.txt,50000,995
diverse_0005,gutenberg_30203,Gutenberg English prose,data/diverse/books/book_0005/full.txt,50000,895
diverse_0006,gutenberg_27322,Gutenberg English prose,data/diverse/books/book_0006/full.txt,50000,985
diverse_0007,gutenberg_25511,Gutenberg English prose,data/diverse/books/book_0007/full.txt,50000,1684
diverse_0008,gutenberg_19477,Gutenberg English prose,data/diverse/books/book_0008/full.txt,50000,968
diverse_0009,gutenberg_62455,Gutenberg English prose,data/diverse/books/book_0009/full.txt,50000,1127
diverse_0010,gutenberg_17217,Gutenberg English prose,data/diverse/books/book_0010/full.txt,50000,871
diverse_0011,gutenberg_58344,Gutenberg English prose,data/diverse/books/book_0011/full.txt,50000,916
diverse_0012,gutenberg_62664,Gutenberg English prose,data/diverse/books/book_0012/full.txt,50000,994
diverse_0013,gutenberg_73911,Gutenberg English prose,data/diverse/books/book_0013/full.txt,50000,953
diverse_0014,gutenberg_48824,Gutenberg English prose,data/diverse/books/book_0014/full.txt,50000,1233
diverse_0015,gutenberg_16578,Gutenberg English prose,data/diverse/books/book_0015/full.txt,50000,1067
diverse_0016,gutenberg_52444,Gutenberg English prose,data/diverse/books/book_0016/full.txt,50000,1107
diverse_0017,gutenberg_40179,Gutenberg English prose,data/diverse/books/book_0017/full.txt,50000,1043
diverse_0018,gutenberg_12280,Gutenberg English prose,data/diverse/books/book_0018/full.txt,50000,1019
diverse_0019,gutenberg_12205,Gutenberg English prose,data/diverse/books/book_0019/full.txt,23064,533
diverse_0020,gutenberg_16928,Gutenberg English prose,data/diverse/books/book_0020/full.txt,50000,981
diverse_0021,gutenberg_25234,Gutenberg English prose,data/diverse/books/book_0021/full.txt,49545,1139
diverse_0022,gutenberg_266,Gutenberg English prose,data/diverse/books/book_0022/full.txt,50000,1578
diverse_0023,gutenberg_45960,Gutenberg English prose,data/diverse/books/book_0023/full.txt,50000,1119
diverse_0024,gutenberg_53269,Gutenberg English prose,data/diverse/books/book_0024/full.txt,50000,1186
diverse_0025,gutenberg_12020,Gutenberg English prose,data/diverse/books/book_0025/full.txt,50000,1065
diverse_0026,gutenberg_4994,Gutenberg English prose,data/diverse/books/book_0026/full.txt,50000,1119
diverse_0027,gutenberg_23560,Gutenberg English prose,data/diverse/books/book_0027/full.txt,50000,1094
diverse_0028,gutenberg_61267,Gutenberg English prose,data/diverse/books/book_0028/full.txt,50000,1022
diverse_0029,gutenberg_56241,Gutenberg English prose,data/diverse/books/book_0029/full.txt,50000,1050
diverse_0030,gutenberg_60196,Gutenberg English prose,data/diverse/books/book_0030/full.txt,50000,1117
diverse_0031,gutenberg_39795,Gutenberg English prose,data/diverse/books/book_0031/full.txt,50000,1007
diverse_0032,gutenberg_25345,Gutenberg English prose,data/diverse/books/book_0032/full.txt,50000,1016
diverse_0033,gutenberg_4226,Gutenberg English prose,data/diverse/books/book_0033/full.txt,50000,943
diverse_0034,gutenberg_52303,Gutenberg English prose,data/diverse/books/book_0034/full.txt,50000,985
diverse_0035,gutenberg_3030,Gutenberg English prose,data/diverse/books/book_0035/full.txt,50000,1144
diverse_0036,gutenberg_6795,Gutenberg English prose,data/diverse/books/book_0036/full.txt,49106,1341
diverse_0037,gutenberg_7237,Gutenberg English prose,data/diverse/books/book_0037/full.txt,50000,983
diverse_0038,gutenberg_10510,Gutenberg English prose,data/diverse/books/book_0038/full.txt,9472,165
diverse_0039,gutenberg_64233,Gutenberg English prose,data/diverse/books/book_0039/full.txt,50000,1148
diverse_0040,gutenberg_67788,Gutenberg English prose,data/diverse/books/book_0040/full.txt,50000,926
diverse_0041,gutenberg_21002,Gutenberg English prose,data/diverse/books/book_0041/full.txt,50000,918
diverse_0042,gutenberg_59791,Gutenberg English prose,data/diverse/books/book_0042/full.txt,50000,1074
diverse_0043,gutenberg_34473,Gutenberg English prose,data/diverse/books/book_0043/full.txt,50000,1317
diverse_0044,gutenberg_20776,Gutenberg English prose,data/diverse/books/book_0044/full.txt,50000,1057
diverse_0045,gutenberg_2516,Gutenberg English prose,data/diverse/books/book_0045/full.txt,50000,850
diverse_0046,gutenberg_8193,Gutenberg English prose,data/diverse/books/book_0046/full.txt,50000,920
diverse_0047,gutenberg_64640,Gutenberg English prose,data/diverse/books/book_0047/full.txt,38097,720
diverse_0048,gutenberg_34377,Gutenberg English prose,data/diverse/books/book_0048/full.txt,50000,894
diverse_0049,gutenberg_16891,Gutenberg English prose,data/diverse/books/book_0049/full.txt,50000,1057
diverse_0050,gutenberg_37228,Gutenberg English prose,data/diverse/books/book_0050/full.txt,50000,3151
diverse_0051,gutenberg_16996,Gutenberg English prose,data/diverse/books/book_0051/full.txt,50000,967
diverse_0052,gutenberg_3557,Gutenberg English prose,data/diverse/books/book_0052/full.txt,50000,820
diverse_0053,gutenberg_7115,Gutenberg English prose,data/diverse/books/book_0053/full.txt,50000,1312
diverse_0054,gutenberg_34860,Gutenberg English prose,data/diverse/books/book_0054/full.txt,50000,1496
diverse_0055,gutenberg_53626,Gutenberg English prose,data/diverse/books/book_0055/full.txt,50000,1004
diverse_0056,gutenberg_29047,Gutenberg English prose,data/diverse/books/book_0056/full.txt,50000,1072
diverse_0057,gutenberg_67877,Gutenberg English prose,data/diverse/books/book_0057/full.txt,50000,1102
diverse_0058,gutenberg_1341,Gutenberg English prose,data/diverse/books/book_0058/full.txt,11510,197
diverse_0059,gutenberg_62214,Gutenberg English prose,data/diverse/books/book_0059/full.txt,50000,1006
diverse_0060,gutenberg_4335,Gutenberg English prose,data/diverse/books/book_0060/full.txt,50000,903
diverse_0061,code_train_profile_mlp.py_594dab1c,Python source code,data/diverse/books/book_0061/full.txt,4183,132
diverse_0062,code_compression_features.py_cb76893e,Python source code,data/diverse/books/book_0062/full.txt,4342,134
diverse_0063,code_bwt_codec.py_99f75ab9,Python source code,data/diverse/books/book_0063/full.txt,12558,419
diverse_0064,code_split_books.py_c76fa18a,Python source code,data/diverse/books/book_0064/full.txt,1530,48
diverse_0065,code_evaluate_profile_mlp.py_a56f1ea9,Python source code,data/diverse/books/book_0065/full.txt,3734,122
diverse_0066,code_phase1_plots.py_37c63149,Python source code,data/diverse/books/book_0066/full.txt,6698,171
diverse_0067,code_profile_lookup.py_358bd8f1,Python source code,data/diverse/books/book_0067/full.txt,4917,126
diverse_0068,code_arithmetic_codec.py_f8d0c5c4,Python source code,data/diverse/books/book_0068/full.txt,22584,815
diverse_0069,code_model_io.py_09bbb613,Python source code,data/diverse/books/book_0069/full.txt,3428,107
diverse_0070,code_kmeans_profiles.py_541e5c0c,Python source code,data/diverse/books/book_0070/full.txt,4162,114
diverse_0071,code_manifest.py_6b45b40e,Python source code,data/diverse/books/book_0071/full.txt,775,25
diverse_0072,code_clean_text.py_011e1939,Python source code,data/diverse/books/book_0072/full.txt,1652,49
diverse_0073,code_profile_labeling.py_4979027f,Python source code,data/diverse/books/book_0073/full.txt,2009,65
diverse_0074,code_profile_classifier.py_4cb0f202,Python source code,data/diverse/books/book_0074/full.txt,3269,92
diverse_0075,code_adaptive_compressor.py_ff185737,Python source code,data/diverse/books/book_0075/full.txt,6587,185
diverse_0076,code_run_raw_codecs.py_b9ffdb2d,Python source code,data/diverse/books/book_0076/full.txt,9214,258
diverse_0077,code_profile_mapping.py_862d3e81,Python source code,data/diverse/books/book_0077/full.txt,8588,245
diverse_0078,code_gutenberg_downloader.py_9a61f6f6,Python source code,data/diverse/books/book_0078/full.txt,7330,211
diverse_0079,code_neural_compressor.py_a35fef9a,Python source code,data/diverse/books/book_0079/full.txt,19464,569
diverse_0080,code_run_phase2.py_4df45878,Python source code,data/diverse/books/book_0080/full.txt,7614,207
diverse_0081,code_build_data_sources.py_0f0acd8d,Python source code,data/diverse/books/book_0081/full.txt,3166,96
diverse_0082,code_run_phase3.py_43ee3ab0,Python source code,data/diverse/books/book_0082/full.txt,5102,147
diverse_0083,code_run_phase1.py_ffa87357,Python source code,data/diverse/books/book_0083/full.txt,6230,153
diverse_0084,code_run_phase0.py_c53ef957,Python source code,data/diverse/books/book_0084/full.txt,5701,169
diverse_0085,code_build_diverse_corpus.py_96b02bd9,Python source code,data/diverse/books/book_0085/full.txt,11865,335
diverse_0086,code_run_experiment_v2.py_30e26b36,Python source code,data/diverse/books/book_0086/full.txt,28932,814
diverse_0087,code_check_env.py_726cafc8,Python source code,data/diverse/books/book_0087/full.txt,1922,67
diverse_0088,code_parsers.py_37979c0f,Python source code,data/diverse/books/book_0088/full.txt,30000,728
diverse_0089,code_data_asset_import_knowledge_lark_doc.py_eb700e65,Python source code,data/diverse/books/book_0089/full.txt,1659,49
diverse_0090,code_test_scalar_ctors.py_4adf82bf,Python source code,data/diverse/books/book_0090/full.txt,6693,204
diverse_0091,code_windows_response.py_edc2ca19,Python source code,data/diverse/books/book_0091/full.txt,3524,111
diverse_0092,code_DSA.py_210b2127,Python source code,data/diverse/books/book_0092/full.txt,22378,683
diverse_0093,code___init__.py_73c659de,Python source code,data/diverse/books/book_0093/full.txt,1741,54
diverse_0094,code_usageinfo_dollar_defs.py_50d58f44,Python source code,data/diverse/books/book_0094/full.txt,2798,90
diverse_0095,code_cli.py_451d5ee7,Python source code,data/diverse/books/book_0095/full.txt,5336,179
diverse_0096,code_work_dir_response.py_eab9dc4d,Python source code,data/diverse/books/book_0096/full.txt,3054,104
diverse_0097,code_protected_rows.py_413c10bb,Python source code,data/diverse/books/book_0097/full.txt,1206,43
diverse_0098,code_versions.py_83496e64,Python source code,data/diverse/books/book_0098/full.txt,4851,145
diverse_0099,code___init__.py_5f4bb3c6,Python source code,data/diverse/books/book_0099/full.txt,1828,25
diverse_0100,code_site.py_b854d250,Python source code,data/diverse/books/book_0100/full.txt,853,38
diverse_0101,html_en_wikipedia_org_cdb5c110,HTML pages,data/diverse/books/book_0101/full.txt,20000,256
diverse_0102,html_en_wikipedia_org_e91cab73,HTML pages,data/diverse/books/book_0102/full.txt,20000,526
diverse_0103,html_en_wikipedia_org_fd6a6d33,HTML pages,data/diverse/books/book_0103/full.txt,20000,262
diverse_0104,html_en_wikipedia_org_3d1d2693,HTML pages,data/diverse/books/book_0104/full.txt,20000,360
diverse_0105,html_en_wikipedia_org_37a5a861,HTML pages,data/diverse/books/book_0105/full.txt,20000,307
