book_id,split,seed
64210,train,42
45162,train,42
72747,train,42
74708,train,42
12308,train,42
43862,train,42
16456,train,42
62287,train,42
34934,train,42
46251,train,42
22042,train,42
66600,train,42
3913,train,42
53200,train,42
57603,train,42
44920,train,42
63107,train,42
13550,train,42
60957,train,42
33880,train,42
41433,train,42
6519,train,42
34634,train,42
43157,train,42
53940,train,42
43646,train,42
52972,train,42
4865,train,42
35524,train,42
63797,train,42
54406,train,42
76007,train,42
65456,train,42
44592,train,42
74759,train,42
35682,train,42
51700,train,42
60248,train,42
14124,train,42
3975,train,42
1449,train,42
28521,train,42
63822,train,42
22088,train,42
43106,train,42
65135,train,42
21296,train,42
19853,train,42
61911,train,42
17943,train,42
39788,train,42
78161,train,42
11608,train,42
22134,train,42
38676,train,42
51054,train,42
56260,train,42
63280,train,42
25190,train,42
5090,train,42
5069,train,42
31290,train,42
54827,train,42
37041,train,42
35508,train,42
71838,train,42
33763,train,42
115,train,42
23402,train,42
1033,train,42
12618,train,42
31003,train,42
44404,train,42
27063,train,42
45144,train,42
72776,train,42
59693,train,42
72476,train,42
16158,train,42
73729,train,42
65237,train,42
45273,train,42
21612,train,42
69345,train,42
23092,train,42
6339,train,42
73596,train,42
31017,train,42
47612,train,42
11957,train,42
58493,train,42
24117,train,42
39583,train,42
46988,train,42
12373,train,42
75351,train,42
37807,train,42
52657,train,42
31221,train,42
69582,train,42
56364,train,42
30227,train,42
75886,train,42
76178,train,42
52621,train,42
77736,train,42
75565,train,42
60912,train,42
3078,train,42
46986,train,42
66462,train,42
25590,train,42
40730,train,42
12135,train,42
36012,train,42
67143,train,42
32626,train,42
48883,train,42
26745,train,42
1985,train,42
45870,train,42
38828,train,42
55919,train,42
22737,train,42
50886,train,42
33111,train,42
67439,train,42
5929,train,42
7693,train,42
45740,train,42
71046,train,42
69049,train,42
71808,train,42
3528,train,42
51533,train,42
6510,train,42
22115,train,42
15228,train,42
35035,train,42
65858,train,42
73341,train,42
74559,train,42
76105,train,42
33287,train,42
60762,train,42
37649,train,42
42892,train,42
37461,train,42
32345,train,42
57442,train,42
61967,train,42
74683,train,42
4248,train,42
4624,train,42
54484,train,42
4423,train,42
22579,train,42
27698,train,42
58436,train,42
61861,train,42
50159,train,42
20660,train,42
52845,train,42
37394,train,42
78254,train,42
58057,train,42
3537,train,42
67075,train,42
37915,train,42
16785,train,42
74067,train,42
44189,train,42
41561,train,42
27367,train,42
55377,train,42
63681,train,42
56531,train,42
18788,train,42
548,train,42
9249,train,42
34345,train,42
31940,train,42
19243,train,42
16500,train,42
33135,train,42
43597,train,42
8199,train,42
69885,train,42
7257,train,42
36041,train,42
21655,train,42
11993,train,42
34503,train,42
44755,train,42
43593,train,42
53443,train,42
58673,train,42
13764,train,42
24281,train,42
36641,train,42
72014,train,42
21237,train,42
19696,train,42
39190,train,42
77866,train,42
19819,train,42
7948,train,42
1622,train,42
64039,train,42
31477,train,42
9608,train,42
46439,train,42
63945,train,42
25982,train,42
54100,train,42
65983,train,42
4892,train,42
45368,train,42
6925,train,42
44447,train,42
18410,train,42
43701,train,42
19550,train,42
12138,train,42
73643,train,42
18441,train,42
52507,train,42
14658,train,42
71569,train,42
49755,train,42
10456,train,42
74865,train,42
54864,train,42
4095,train,42
60853,train,42
2225,train,42
62308,train,42
54150,train,42
49749,train,42
11584,train,42
61949,train,42
73972,train,42
45405,train,42
49805,train,42
19342,train,42
22144,train,42
10450,train,42
4112,train,42
11660,train,42
245,train,42
149,train,42
38513,train,42
31397,train,42
33599,train,42
22181,train,42
56171,train,42
28197,train,42
55240,train,42
66677,train,42
26129,train,42
65378,train,42
57570,train,42
66168,train,42
43854,train,42
3533,train,42
69148,train,42
26446,train,42
5426,train,42
77602,train,42
507,train,42
29249,train,42
23378,train,42
11429,train,42
39767,train,42
2668,train,42
16412,train,42
47151,train,42
21227,train,42
3097,train,42
43929,train,42
33222,train,42
57639,train,42
32727,train,42
41885,train,42
27286,train,42
69485,train,42
29815,train,42
42049,train,42
73244,train,42
63162,train,42
48144,train,42
2175,train,42
48789,train,42
54268,train,42
39552,train,42
69413,train,42
11110,train,42
22842,train,42
39639,train,42
47314,train,42
12215,train,42
50290,train,42
38007,train,42
29759,train,42
41144,train,42
63814,train,42
35980,train,42
60313,train,42
37841,train,42
16198,train,42
4755,train,42
49957,train,42
4815,train,42
59505,train,42
13125,train,42
72058,train,42
54505,train,42
70584,train,42
19371,train,42
37013,train,42
42081,train,42
75519,train,42
66997,train,42
19416,train,42
54042,train,42
32837,train,42
59473,train,42
422,train,42
71735,train,42
33133,train,42
18712,train,42
19094,train,42
67107,train,42
37800,train,42
73984,train,42
9373,train,42
38687,train,42
51597,train,42
2778,train,42
32543,train,42
38468,train,42
20948,train,42
31813,train,42
30567,train,42
55124,train,42
54749,train,42
34922,train,42
15250,train,42
5726,train,42
68270,train,42
7562,train,42
5731,train,42
60244,train,42
26540,train,42
28547,train,42
1673,train,42
6885,train,42
70769,train,42
14474,train,42
55779,train,42
76172,train,42
38087,train,42
3658,train,42
18570,train,42
44342,train,42
66110,train,42
73176,train,42
398,train,42
76348,train,42
59347,train,42
31040,train,42
71819,train,42
24395,train,42
74138,train,42
12509,train,42
70651,train,42
73012,train,42
18665,train,42
11881,train,42
69244,train,42
806,train,42
17024,train,42
1816,train,42
40629,train,42
76944,train,42
1844,train,42
36930,train,42
13498,train,42
21226,train,42
32628,train,42
32977,train,42
71842,train,42
28472,train,42
19607,train,42
13370,train,42
45054,train,42
16459,train,42
36090,train,42
47082,train,42
8590,train,42
69954,train,42
34399,train,42
38,train,42
25442,train,42
8932,train,42
21005,train,42
33800,train,42
52157,train,42
74064,train,42
43427,train,42
41279,train,42
17377,train,42
7039,train,42
20516,train,42
42230,train,42
30180,train,42
23924,train,42
2037,train,42
50993,train,42
62621,train,42
8644,train,42
36902,train,42
6609,train,42
55249,train,42
66461,train,42
47438,train,42
44993,train,42
61424,train,42
48870,train,42
4797,train,42
35042,train,42
23809,train,42
72234,train,42
5282,train,42
59510,train,42
4712,train,42
27957,train,42
20283,train,42
70006,train,42
14860,train,42
4045,train,42
34176,train,42
45701,train,42
62223,train,42
44096,train,42
46399,train,42
72578,train,42
77111,train,42
22096,train,42
56881,train,42
34373,train,42
36308,train,42
73352,train,42
35677,train,42
4966,train,42
29587,train,42
58102,train,42
28647,train,42
6466,train,42
7574,train,42
47292,train,42
11853,train,42
47760,train,42
16949,train,42
31085,train,42
42355,train,42
22702,train,42
59407,train,42
28050,train,42
32335,train,42
8136,train,42
20840,train,42
3798,train,42
47699,train,42
2150,train,42
60726,train,42
65278,train,42
67108,train,42
6436,train,42
62619,train,42
31119,train,42
16767,train,42
75356,train,42
41422,train,42
5513,train,42
11461,train,42
43827,train,42
9789,train,42
71277,train,42
3994,train,42
58602,train,42
44953,train,42
2804,train,42
33181,train,42
21700,train,42
49465,train,42
37613,train,42
4456,train,42
12404,train,42
41104,train,42
75294,train,42
55815,train,42
54789,train,42
1698,train,42
34138,train,42
11322,train,42
57659,train,42
18196,train,42
41278,train,42
38280,train,42
67057,train,42
3237,train,42
35156,train,42
43426,train,42
23648,train,42
25494,train,42
43846,train,42
12787,train,42
37353,train,42
17721,train,42
68159,train,42
66926,train,42
77879,train,42
39532,train,42
34224,train,42
21988,train,42
9798,train,42
39551,train,42
21821,train,42
73404,train,42
70684,train,42
55285,train,42
62052,train,42
59227,train,42
17250,train,42
74501,train,42
55318,train,42
35548,train,42
53648,train,42
7345,train,42
32609,train,42
13279,train,42
1885,train,42
41048,train,42
19929,train,42
51039,train,42
12411,train,42
20147,train,42
57099,train,42
7777,train,42
52162,train,42
4084,train,42
41580,train,42
64837,train,42
28885,train,42
19170,train,42
34250,train,42
66160,train,42
1347,train,42
30274,train,42
55337,train,42
7673,train,42
1406,train,42
67331,train,42
64485,train,42
8124,train,42
52046,train,42
24003,train,42
34781,train,42
24688,train,42
30963,train,42
29794,train,42
77413,train,42
67187,train,42
17684,train,42
18375,train,42
7603,train,42
19246,train,42
17342,train,42
31907,train,42
78510,train,42
11055,train,42
67438,train,42
32209,train,42
48749,train,42
61952,train,42
54653,train,42
31012,train,42
36535,train,42
72267,train,42
54394,train,42
35138,train,42
59587,train,42
53796,train,42
46001,train,42
5599,train,42
48323,train,42
16113,train,42
1713,train,42
49972,train,42
70477,train,42
11073,train,42
15893,train,42
76987,train,42
43158,train,42
3193,train,42
19198,train,42
70627,train,42
72033,train,42
26933,train,42
55074,train,42
24044,train,42
28693,train,42
71401,train,42
47384,train,42
50193,train,42
69443,train,42
78240,train,42
16364,train,42
12901,train,42
52719,train,42
5124,train,42
70108,train,42
50820,train,42
1853,train,42
38633,train,42
26725,train,42
60363,train,42
5273,train,42
63562,train,42
22140,train,42
16297,train,42
461,train,42
71789,train,42
66324,train,42
64692,train,42
45731,train,42
44127,train,42
69507,train,42
56822,train,42
14510,train,42
32855,train,42
58243,train,42
48707,train,42
51391,train,42
69052,train,42
25203,train,42
31506,train,42
5986,train,42
20718,train,42
4469,train,42
49687,train,42
72988,train,42
31016,train,42
43008,train,42
9089,train,42
37838,train,42
10350,train,42
72076,train,42
21077,train,42
6072,train,42
71340,train,42
24922,train,42
44385,train,42
59851,train,42
62297,train,42
2122,train,42
26794,train,42
8193,train,42
11463,train,42
4856,train,42
5632,train,42
13935,train,42
9163,train,42
49350,train,42
41784,train,42
16165,train,42
2768,train,42
73792,train,42
60172,train,42
22110,train,42
67985,train,42
19498,train,42
78175,train,42
67053,train,42
59403,train,42
74745,train,42
27611,train,42
17811,train,42
34464,train,42
38549,train,42
14734,train,42
17016,train,42
55970,train,42
56397,train,42
58062,train,42
14486,train,42
43753,train,42
39463,train,42
62516,train,42
35417,validation,42
41097,validation,42
56895,validation,42
76357,validation,42
16936,validation,42
22375,validation,42
38815,validation,42
59485,validation,42
27226,validation,42
43865,validation,42
51125,validation,42
50878,validation,42
19240,validation,42
62448,validation,42
25018,validation,42
63582,validation,42
57708,validation,42
30529,validation,42
26835,validation,42
46559,validation,42
60831,validation,42
34152,validation,42
71663,validation,42
15266,validation,42
71756,validation,42
14625,validation,42
55148,validation,42
60472,validation,42
15613,validation,42
10718,validation,42
78189,validation,42
61317,validation,42
26399,validation,42
49606,validation,42
52230,validation,42
11832,validation,42
34433,validation,42
67928,validation,42
25787,validation,42
27504,validation,42
18544,validation,42
42482,validation,42
47036,validation,42
41291,validation,42
6809,validation,42
78504,validation,42
57905,validation,42
69414,validation,42
32736,validation,42
60903,validation,42
23797,validation,42
59404,validation,42
75854,validation,42
64710,validation,42
71112,validation,42
40252,validation,42
53827,validation,42
47714,validation,42
70282,validation,42
21088,validation,42
49100,validation,42
43969,validation,42
56946,validation,42
18908,validation,42
18772,validation,42
4803,validation,42
15282,validation,42
44596,validation,42
62235,validation,42
16473,validation,42
75529,validation,42
71065,validation,42
27,validation,42
14604,validation,42
2699,validation,42
32579,validation,42
35818,validation,42
66525,validation,42
11658,validation,42
44800,validation,42
33503,validation,42
52965,validation,42
10035,validation,42
47792,validation,42
48452,validation,42
21038,validation,42
6568,validation,42
36749,validation,42
68374,validation,42
7906,validation,42
72670,validation,42
654,validation,42
9936,validation,42
31866,validation,42
54915,validation,42
17382,validation,42
46067,validation,42
21853,validation,42
64631,validation,42
45611,validation,42
75465,validation,42
61384,validation,42
61672,validation,42
10355,validation,42
73579,validation,42
20900,validation,42
41235,validation,42
75471,validation,42
9867,validation,42
77515,validation,42
55621,validation,42
65047,validation,42
73131,validation,42
63583,validation,42
75696,validation,42
58988,validation,42
18214,validation,42
61536,validation,42
68088,validation,42
11180,validation,42
4957,validation,42
27703,validation,42
47751,validation,42
43773,validation,42
77957,validation,42
37309,validation,42
37565,validation,42
15082,validation,42
52805,validation,42
77518,validation,42
5864,validation,42
66848,validation,42
77619,validation,42
55077,validation,42
20612,validation,42
17823,validation,42
1351,validation,42
63919,validation,42
16866,validation,42
45106,validation,42
46237,validation,42
19418,validation,42
71850,validation,42
74813,validation,42
38309,validation,42
51789,validation,42
40910,validation,42
51905,validation,42
63372,validation,42
28959,validation,42
4842,test,42
7920,test,42
63230,test,42
27456,test,42
9265,test,42
2918,test,42
19659,test,42
43304,test,42
5578,test,42
38035,test,42
45530,test,42
56620,test,42
24827,test,42
32937,test,42
61348,test,42
50544,test,42
24742,test,42
15232,test,42
29559,test,42
38490,test,42
3296,test,42
677,test,42
8215,test,42
69262,test,42
26337,test,42
14494,test,42
65324,test,42
64940,test,42
70912,test,42
33549,test,42
59239,test,42
25282,test,42
49714,test,42
59371,test,42
55571,test,42
29664,test,42
37171,test,42
43592,test,42
21060,test,42
