book_id,title,author,language,source_url,clean_path,quality_status,reject_reason
27,Far from the Madding Crowd,"Hardy, Thomas, 1840-1928",en,https://www.gutenberg.org/cache/epub/27/pg27.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/27.txt,accepted,
38,"The Jargon File, Version 2.9.10, 01 Jul 1992","Raymond, Eric S., 1957- [Editor]; Steele, Guy L., 1954- [Editor]",en,https://www.gutenberg.org/cache/epub/38/pg38.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/38.txt,accepted,
115,United States Census Figures Back to 1630,United States. Bureau of the Census,en,https://www.gutenberg.org/cache/epub/115/pg115.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/115.txt,accepted,
149,The Lost Continent,"Burroughs, Edgar Rice, 1875-1950",en,https://www.gutenberg.org/cache/epub/149/pg149.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/149.txt,accepted,
245,Life on the Mississippi,"Twain, Mark, 1835-1910",en,https://www.gutenberg.org/cache/epub/245/pg245.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/245.txt,accepted,
266,"Confessio Amantis; Or, Tales of the Seven Deadly Sins","Gower, John, 1325?-1408; Macaulay, G. C. (George Campbell), 1852-1915 [Editor]",en,https://www.gutenberg.org/cache/epub/266/pg266.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/266.txt,accepted,
398,The First Book of Adam and Eve,"Platt, Rutherford Hayes, 1894-1975",en,https://www.gutenberg.org/cache/epub/398/pg398.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/398.txt,accepted,
422,The Romany Rye,"Borrow, George, 1803-1881",en,https://www.gutenberg.org/cache/epub/422/pg422.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/422.txt,accepted,
461,The Quest of the Golden Girl: A Romance,"Le Gallienne, Richard, 1866-1947",en,https://www.gutenberg.org/cache/epub/461/pg461.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/461.txt,accepted,
507,Adam Bede,"Eliot, George, 1819-1880",en,https://www.gutenberg.org/cache/epub/507/pg507.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/507.txt,accepted,
548,"Project Trinity, 1945-1946","Maag, Carl R.; Rohrer, Steve",en,https://www.gutenberg.org/cache/epub/548/pg548.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/548.txt,accepted,
654,Grace Abounding to the Chief of Sinners,"Bunyan, John, 1628-1688; Copping, Harold, 1863-1932 [Illustrator]",en,https://www.gutenberg.org/cache/epub/654/pg654.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/654.txt,accepted,
677,"The Heroes; Or, Greek Fairy Tales for My Children","Kingsley, Charles, 1819-1875",en,https://www.gutenberg.org/cache/epub/677/pg677.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/677.txt,accepted,
806,Philoktetes,"Sophocles, 496? BCE-407 BCE; McNamee, Gregory, 1957- [Translator]",en,https://www.gutenberg.org/cache/epub/806/pg806.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/806.txt,accepted,
1033,Rose o' the River,"Wiggin, Kate Douglas Smith, 1856-1923",en,https://www.gutenberg.org/cache/epub/1033/pg1033.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/1033.txt,accepted,
1341,The Altruist in Politics,"Cardozo, Benjamin N. (Benjamin Nathan), 1870-1938",en,https://www.gutenberg.org/cache/epub/1341/pg1341.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/1341.txt,accepted,
